dataset,configuration,cvi,algorithm
sizes3,"[[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.588109026842593,kernel_params=None,n_clusters=21,n_components=None,n_init=6,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=0.8198798166693193,kernel_params=None,n_clusters=5,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.9167300693531335,kernel_params=None,n_clusters=11,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.7476645200999723,kernel_params=None,n_clusters=31,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.4239430118645988,kernel_params=None,n_clusters=53,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.8548888998927835,kernel_params=None,n_clusters=50,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.74475836221966,kernel_params=None,n_clusters=92,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.9708831030286955,kernel_params=None,n_clusters=25,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.9199410541718973,kernel_params=None,n_clusters=86,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.5053638944065573,kernel_params=None,n_clusters=50,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
sizes2,"[[MeanShift(bandwidth=4,bin_seeding=False,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=5,bin_seeding=True,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=True,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=5,bin_seeding=True,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=False,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=False,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=True,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=True,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=True,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=False,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",meanshift
DS-577,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.873424646202589,kernel_params=None,n_clusters=85,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.808845187936476,kernel_params=None,n_clusters=4,n_components=None,n_init=10,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.123517368706535,kernel_params=None,n_clusters=63,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.146625457486197,kernel_params=None,n_clusters=38,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.037931789166067,kernel_params=None,n_clusters=56,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.4219354462386606,kernel_params=None,n_clusters=62,n_components=None,n_init=1,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.9918836696926747,kernel_params=None,n_clusters=16,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.613640741407342,kernel_params=None,n_clusters=16,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.7298151541173326,kernel_params=None,n_clusters=97,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.7293179507585225,kernel_params=None,n_clusters=11,n_components=None,n_init=4,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
atom,"[[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=5,bin_seeding=False,cluster_all=True,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['i_index', 1], ['scott_symons', -1], ['banfeld_raferty', -1]]",meanshift
long1,"[[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=27)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=73)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=28)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=55)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=74)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
dartboard1,"[[DBSCAN(algorithm='ball_tree',eps=8,leaf_size=3,metric='cityblock',metric_params=None,min_samples=100,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=0.3,leaf_size=1,metric='manhattan',metric_params=None,min_samples=50,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=6,leaf_size=2,metric='manhattan',metric_params=None,min_samples=150,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=2,leaf_size=2,metric='l1',metric_params=None,min_samples=200,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=5,leaf_size=1,metric='cityblock',metric_params=None,min_samples=20,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=7,leaf_size=2,metric='l1',metric_params=None,min_samples=30,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=2,metric='l2',metric_params=None,min_samples=5,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=3,metric='cityblock',metric_params=None,min_samples=20,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=9,leaf_size=2,metric='l2',metric_params=None,min_samples=200,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=1,leaf_size=3,metric='cityblock',metric_params=None,min_samples=200,n_jobs=None,p=3)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
flame,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=12)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=99)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=61)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=12)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=84)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=7)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=76)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=68)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=52)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=12)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
triangle2,"[[DBSCAN(algorithm='brute',eps=2,leaf_size=2,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=2,leaf_size=1,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=2,leaf_size=3,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=2,leaf_size=3,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=2,leaf_size=3,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=2,leaf_size=2,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=2,leaf_size=3,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=3)],[DBSCAN(algorithm='kd_tree',eps=2,leaf_size=2,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=2,leaf_size=1,metric='l2',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=2,leaf_size=3,metric='euclidean',metric_params=None,min_samples=10,n_jobs=None,p=3)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
long3,"[[Birch(branching_factor=24,compute_labels=True,copy=False,n_clusters=3,threshold=0.26729385692619645)],[Birch(branching_factor=66,compute_labels=True,copy=False,n_clusters=3,threshold=1.20762358597657)],[Birch(branching_factor=98,compute_labels=False,copy=True,n_clusters=3,threshold=0.5863062047488345)],[Birch(branching_factor=92,compute_labels=True,copy=True,n_clusters=3,threshold=0.9406693783494449)],[Birch(branching_factor=51,compute_labels=False,copy=False,n_clusters=3,threshold=0.9004171710918962)],[Birch(branching_factor=42,compute_labels=False,copy=True,n_clusters=3,threshold=0.5791507316953881)],[Birch(branching_factor=40,compute_labels=False,copy=True,n_clusters=3,threshold=0.21987672757336288)],[Birch(branching_factor=36,compute_labels=True,copy=False,n_clusters=3,threshold=0.46824404237426764)],[Birch(branching_factor=36,compute_labels=True,copy=False,n_clusters=3,threshold=1.578515485710132)],[Birch(branching_factor=41,compute_labels=False,copy=False,n_clusters=3,threshold=0.6016832831671354)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
haberman,"[[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=88)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=88)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=88)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=88)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=11)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=23)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=57)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=88)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=62)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=72)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
cure-t2-4k,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=80)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=22)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=75)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=21)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=90)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=6)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=93)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=64)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=18)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=40)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
sizes1,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=6)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=61)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=69)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=53)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=3)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=75)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=40)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=5)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=11)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
lsun,"[[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=0.863856661794679,kernel_params=None,n_clusters=3,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.620149581761235,kernel_params=None,n_clusters=5,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.1654692520775005,kernel_params=None,n_clusters=3,n_components=None,n_init=18,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.593871953916289,kernel_params=None,n_clusters=58,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.6119322577619046,kernel_params=None,n_clusters=75,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.2876378847726433,kernel_params=None,n_clusters=75,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.8062518559226923,kernel_params=None,n_clusters=54,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.579168670723919,kernel_params=None,n_clusters=100,n_components=None,n_init=11,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.9302665094105312,kernel_params=None,n_clusters=73,n_components=None,n_init=6,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.6916209012600212,kernel_params=None,n_clusters=5,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
long2,"[[Birch(branching_factor=82,compute_labels=True,copy=True,n_clusters=3,threshold=0.7616130197240047)],[Birch(branching_factor=88,compute_labels=True,copy=False,n_clusters=3,threshold=0.7746096840405094)],[Birch(branching_factor=96,compute_labels=False,copy=True,n_clusters=3,threshold=1.4341998502457947)],[Birch(branching_factor=94,compute_labels=True,copy=False,n_clusters=3,threshold=1.9191402952947307)],[Birch(branching_factor=54,compute_labels=True,copy=False,n_clusters=3,threshold=0.757947661441607)],[Birch(branching_factor=96,compute_labels=False,copy=True,n_clusters=3,threshold=1.3324038920781824)],[Birch(branching_factor=19,compute_labels=False,copy=True,n_clusters=3,threshold=0.8666440031405589)],[Birch(branching_factor=22,compute_labels=True,copy=False,n_clusters=3,threshold=0.5262134265820257)],[Birch(branching_factor=15,compute_labels=False,copy=False,n_clusters=3,threshold=0.8185566678130571)],[Birch(branching_factor=13,compute_labels=True,copy=True,n_clusters=3,threshold=1.3784722268185083)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
dartboard2,"[[Birch(branching_factor=29,compute_labels=False,copy=False,n_clusters=3,threshold=1.0537802163699108)],[Birch(branching_factor=74,compute_labels=False,copy=False,n_clusters=3,threshold=1.742137950308233)],[Birch(branching_factor=63,compute_labels=False,copy=False,n_clusters=3,threshold=0.929027659392635)],[Birch(branching_factor=85,compute_labels=True,copy=False,n_clusters=3,threshold=1.499742025282358)],[Birch(branching_factor=67,compute_labels=True,copy=True,n_clusters=3,threshold=1.7941198231056168)],[Birch(branching_factor=36,compute_labels=False,copy=True,n_clusters=3,threshold=0.2629031915525926)],[Birch(branching_factor=57,compute_labels=False,copy=True,n_clusters=3,threshold=1.5013070214675432)],[Birch(branching_factor=13,compute_labels=True,copy=False,n_clusters=3,threshold=1.393456883322563)],[Birch(branching_factor=78,compute_labels=True,copy=True,n_clusters=3,threshold=0.22598517526525289)],[Birch(branching_factor=3,compute_labels=False,copy=False,n_clusters=3,threshold=1.426125174547292)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
sizes5,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.7553106225797923,kernel_params=None,n_clusters=18,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.8612049736816063,kernel_params=None,n_clusters=54,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.313852416493288,kernel_params=None,n_clusters=93,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.350257535272357,kernel_params=None,n_clusters=54,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.3443707084514953,kernel_params=None,n_clusters=23,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.8413811060174234,kernel_params=None,n_clusters=7,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.5482211367175687,kernel_params=None,n_clusters=13,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.8700894542815176,kernel_params=None,n_clusters=44,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.7193719973065873,kernel_params=None,n_clusters=85,n_components=None,n_init=4,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.9050948563181276,kernel_params=None,n_clusters=54,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
